iter	Passed	Remaining
868	36439	5493
869	36477	5450
870	36514	5408
871	36557	5366
872	36599	5324
873	36644	5282
874	36685	5240
875	36727	5198
876	36772	5157
877	36814	5115
878	36865	5074
879	36907	5032
880	36943	4990
881	36987	4948
882	37024	4905
883	37061	4863
884	37099	4820
885	37141	4778
886	37184	4737
887	37231	4695
888	37270	4653
889	37308	4611
890	37346	4568
891	37388	4526
892	37426	4484
893	37468	4442
894	37512	4400
895	37551	4358
896	37588	4316
897	37634	4274
898	37676	4232
899	37714	4190
900	37753	4148
901	37794	4106
902	37835	4064
903	37871	4021
904	37958	3984
905	38040	3946
906	38085	3905
907	38123	3862
908	38164	3820
909	38213	3779
910	38255	3737
911	38296	3695
912	38334	3652
913	38374	3610
914	38415	3568
915	38454	3526
916	38499	3484
917	38548	3443
918	38587	3401
919	38626	3358
920	38665	3316
921	38705	3274
922	38744	3232
923	38781	3189
924	38826	3148
925	38864	3105
926	38902	3063
927	38950	3022
928	39024	2982
929	39063	2940
930	39106	2898
931	39149	2856
932	39187	2814
933	39225	2771
934	39270	2730
935	39310	2687
936	39349	2645
937	39391	2603
938	39433	2561
939	39469	2519
940	39512	2477
941	39551	2435
942	39589	2393
943	39626	2350
944	39661	2308
945	39700	2266
946	39743	2224
947	39788	2182
948	39828	2140
949	39867	2098
950	39908	2056
951	39951	2014
952	40015	1973
953	40071	1932
954	40132	1891
955	40182	1849
956	40231	1807
957	40268	1765
958	40306	1723
959	40346	1681
960	40390	1639
961	40429	1597
962	40487	1555
963	40527	1513
964	40566	1471
965	40604	1429
966	40645	1387
967	40684	1344
968	40720	1302
969	40757	1260
970	40795	1218
971	40835	1176
972	40877	1134
973	40922	1092
974	40989	1051
975	41028	1008
976	41072	966
977	41117	924
978	41161	882
979	41200	840
980	41237	798
981	41282	756
982	41322	714
983	41359	672
984	41398	630
985	41439	588
986	41480	546
987	41520	504
988	41566	462
989	41604	420
990	41643	378
991	41684	336
992	41726	294
993	41765	252
994	41807	210
995	41848	168
996	41887	126
997	41926	84
998	41971	42
999	42009	0
